parameter,display_name,value_type,description,default_value,examples,valid_min,valid_max,valid_options,required,regex,popular,automl_enabled,math_cond,parent_param,depends_on
results_dir,,hidden,,,,,,,,,,FALSE,,,
dataset,,collection,,,,,,,,,,FALSE,,,
dataset.data,,collection,,,,,,,,,,FALSE,,,
dataset.data.train,,collection,,,,,,,,,,FALSE,,,
dataset.data.train.data_prefix,,hidden,,,,,,,,,,FALSE,,,
dataset.data.train.pipeline,,list,,"[{""type"": ""RandomResizedCrop"", ""scale"": 224}, {""type"": ""RandomFlip"", ""prob"": 0.5, ""direction"": ""horizontal""}]",,,,,,,,FALSE,,,
dataset.data.val,,collection,,,,,,,,,,FALSE,,,
dataset.data.val.data_prefix,,hidden,,,,,,,,,,FALSE,,,
dataset.data.test,,collection,,,,,,,,,,FALSE,,,
dataset.data.test.data_prefix,,hidden,,,,,,,,,,FALSE,,,
dataset.data.samples_per_gpu,,int,,,,,,,,,,,,,
dataset.data.workers_per_gpu,,int,,,,,,,,,,FALSE,,,
model,,collection,,,,,,,,,,FALSE,,,
model.train_cfg,,collection,,,,,,,,,,FALSE,,,
model.init_cfg,,collection,,,,,,,,,,FALSE,,,
model.init_cfg.type,,string,,Pretrained,,,,,,,,FALSE,,,
model.init_cfg.checkpoint,,hidden,,,,,,,,,,FALSE,,,
model.backbone,,collection,,,,,,,,,,FALSE,,,
model.backbone.type,,string,,fan_tiny_8_p4_hybrid,,,,,,,,FALSE,,,
model.backbone.freeze,,bool,,FALSE,,,,,,,,FALSE,,,
model.backbone.pretrained,,hidden,,,,,,,,,,FALSE,,,
model.head,,collection,,,,,,,,,,FALSE,,,
model.head.loss,,collection,,,,,,,,,,FALSE,,,
model.head.loss.type,,string,,CrossEntropyLoss,,,,,,,,FALSE,,,
model.head.loss.loss_weight,,float,,1,,,,,,,,FALSE,,,
model.head.loss.use_soft,,bool,,,,,,,,,,FALSE,,,
model.head.type,,ordered,,TAOLinearClsHead,,,,"TAOLinearClsHead,LogisticRegressionHead",,,,,,,
model.head.num_classes,,int,,20,,,,,,,,FALSE,,,
model.head.custom_args,,collection,,,,,,,,,,FALSE,,,
model.head.custom_args.head_init_scale,,int,,1,,,,,,,,FALSE,,,"backbone.type=""FAN based"""
model.head.lr_head,,collection,,,,,,,,,,FALSE,,,
model.head.lr_head.C,,float,,0.316,,0,inf,,,,,TRUE,,,
model.head.lr_head.max_iter,,int,,10000,,,,,,,,FALSE,,,
model.head.lr_head.class_weight,,string,,"balanced",,,,,,,,FALSE,,,
train,,collection,,,,,,,,,,FALSE,,,
train.num_gpus,,int,,1,,,,,,,,FALSE,,,
train.train_config.validate,,bool,,TRUE,,,,,,,,FALSE,,,
train.train_config.runner,,collection,,,,,,,,,,FALSE,,,
train.train_config.optimizer,,collection,,,,,,,,,,FALSE,,,
train.train_config.optimizer.type,,string,,AdamW,,,,,,,,FALSE,,,
train.train_config.optimizer.lr,,float,,1.00E-03,,0,1,,,,,FALSE,,,
train.train_config.optimizer.weight_decay,,float,,0.05,,0,inf,,,,,TRUE,,,
train.train_config.runner.max_epochs,,int,,25,,1,inf,,,,,FALSE,,TRUE,
train.train_config.checkpoint_config,,collection,,,,,,,,,,FALSE,,,
train.train_config.checkpoint_config.interval,,int,,5,,1,inf,,,,,FALSE,< train.train_config.runner.max_epochs,,
train.train_config.logging,,collection,,,,,,,,,,FALSE,,,
train.train_config.logging.interval,,int,,5,,,,,,,,FALSE,,,
train.train_config.find_unused_parameters,,bool,,FALSE,,,,,,,,FALSE,,,
train.train_config.evaluation,,collection,,,,,,,,,,FALSE,,,
train.train_config.evaluation.interval,,int,,5,,,,,,,,FALSE,,,
train.train_config.resume_training_checkpoint_path,,hidden,,,,,,,,,,FALSE,,,
train.train_config.custom_hooks,,hidden,,"[{""type"": ""EMAHook"", ""momentum"": ""4e-5"", ""priority"": ""ABOVE_NORMAL""}]",,,,,,,,FALSE,,,
